Total,
Ruta temática,Finanzas públicas> Ingresos del sector público> Total
Periodicidad,Mensual
Unidad de medida,Millones de pesos a precios corrientes
Fuente,SHCP. Dirección General Adjunta de Estadística de la Hacienda Pública. Unidad de Planeación Económica de la Hacienda Pública
Cifras preliminares,2014/01
Nota, Cifras acumuladas.
Fecha inicial,2015/03
Fecha final,1986/01
Última actualización,2015/05/06
Periodo,Dato
2010/11,2598639.645
2010/12,2960443.034
2011/01,275606.3254
2011/02,518731.1895
2011/03,773757.0249
2011/04,1015845.273
2011/05,1262020.465
2011/06,1523484.503
2011/07,1768694.512
2011/08,2022305.472
2011/09,2306874.515
2011/10,2557238.375
2011/11,2869664.486
2011/12,3271080.117
2012/01,324618.9794
2012/02,582399.31
2012/03,861705.7622
2012/04,1142671.804
2012/05,1406555.791
2012/06,1724642.911
2012/07,2017588.193
2012/08,2311211.866
2012/09,2596814.097
2012/10,2873941.273
2012/11,3210163.848
2012/12,3514529.531
2013/01,312544.9851
2013/02,604367.1713
2013/03,890614.2472
2013/04,1192685.86
2013/05,1501978.766
2013/06,1810250.595
2013/07,2097986.841
2013/08,2387493.199
2013/09,2692156.819
2013/10,2983963.894
2013/11,3289589.322
2013/12,3800415.616
2014/01,366826.5184
2014/02,647789.1603
2014/03,964117.3422
2014/04,1310923.953
2014/05,1606808.183
2014/06,1912054.272
2014/07,2237522.948
2014/08,2544040.361
2014/09,2854623.738
2014/10,3182124.054
2014/11,3541952.73
2014/12,3983056.04
2015/01,365005.8485
2015/02,654632.7234
2015/03,1085959.071
